"product_id","sku","name","price","sale_price","original_price","grape","wine_type","producer","country","region","abv","volume","vintage","stock_status","categories","description","url","image"
"39787","VD/1244","Rượu Vang Pháp Domaine Henri Rebourseau Chambertin Clos de Bèze Grand Cru 2018 1.5L","3.388.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Pháp Domaine Henri Rebourseau Chambertin Clos de Bèze Grand Cru","","1","750ml","2018","in-stock","","Rượu vang mang sắc tím đậm nét, lan tỏa hương thơm của quả đen chín mọng hòa quyện với các nốt hoa hồng, violet và điểm thêm hương trà xanh. Vị rượu cân bằng, với độ chát chín mềm, vị chua thanh mát cân bằng cùng độ mặn của khoáng","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-chambertin-clos-de-beze-grand-cru-2018/","https://winecellar.vn/wp-content/uploads/2023/11/domaine-henri-rebourseau-chambertin-clos-de-beze-grand-cru.jpg"
"50658","VD/1270-19-1.5L","Rượu Vang Pháp Domaine Henri Rebourseau Chambertin Clos de Bèze Grand Cru 2019 1.5L","19.360.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Pháp Domaine Henri Rebourseau Chambertin Clos de Bèze Grand Cru","","1","1500ml","2019","in-stock","","Mở rượu lan toả huơng thơm the mát và cay nồng của trái mâm xôi, cánh hoa hồng nghiền nát, hoa tím và lá trà, cộng hưởng với cấu trúc cân bằng, vị chát sâu lắng và hậu vì ấm áp đáng ngạc nhiên","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-chambertin-clos-de-beze-grand-cru-2019-1500ml/","https://winecellar.vn/wp-content/uploads/2023/11/domaine-henri-rebourseau-chambertin-clos-de-beze-grand-cru.jpg"
"50714","VD/1242-1.5L","Rượu Vang Pháp Domaine Henri Rebourseau, Charmes-Chambertin Grand Cru 2018 1.5L","1","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","1500ml","2018","in-stock","","Rượu tỏa sáng với sắc đỏ ruby ánh tím, lan tỏa hương vị dâu tây rừng hòa quyện cùng gia vị và vani. Cấu trúc chắc chắn, cô đọng trong chất rượu mướt mịn với độ đậm tựa siro anh đào, hài hòa cùng vị chua tươi tắn","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-charmes-chambertin-grand-cru-2018-1500ml/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-charmes-chambertin-grand-cru.jpg"
"72316","VD/1242","Rượu Vang Pháp Domaine Henri Rebourseau, Charmes-Chambertin Grand Cru 2018","9.438.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2018","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-charmes-chambertin-grand-cru-2018-2/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-charmes-chambertin-grand-cru.jpg"
"39365","VD/1242-19","Rượu Vang Pháp Domaine Henri Rebourseau, Charmes-Chambertin Grand Cru 2019","9.438.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Rượu vang có màu đỏ ruby đậm với hương thơm của trái cây đỏ tươi sáng như dâu tây, mâm xôi, anh đào, cùng với gia vị như vani, quế và tiêu. Trên vòm miệng, rượu vang có cấu trúc tốt, độ chát mịn màng và dư vị dài lâu","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-charmes-chambertin-grand-cru-2019/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-charmes-chambertin-grand-cru.jpg"
"50663","VD/1242-19-1.5L","Rượu Vang Pháp Domaine Henri Rebourseau, Charmes-Chambertin Grand Cru 2019 1.5L","1","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","1500ml","2019","in-stock","","Rượu vang có màu đỏ ruby đậm với hương thơm của trái cây đỏ tươi sáng như dâu tây, mâm xôi, anh đào, cùng với gia vị như vani, quế và tiêu. Trên vòm miệng, rượu vang có cấu trúc tốt, độ chát mịn màng và dư vị dài lâu","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-charmes-chambertin-grand-cru-2019-1500ml/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-charmes-chambertin-grand-cru.jpg"
"50696","VD/12345-1","Rượu Vang Pháp Domaine Henri Rebourseau, Clos De Vougeot Grand Cru 2018 1.5L","2","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","1500ml","2018","in-stock","","Dòng vang phong cách cổ điển với hương anh đào, mận khô quyện mùi khói gỗ sồi. Vị vang cô đọng, độ chát sắc nét, kết cấu mượt mà, vị chua tươi sáng. Hậu vị lưu luyến với các nốt trái cây chín và hương hoa dịu ngọt","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-clos-de-vougeot-grand-cru-2018-1500ml/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-clos-de-vougeot-grand-cru.jpg"
"39703","VD/1245-19","Rượu Vang Pháp Domaine Henri Rebourseau, Clos De Vougeot Grand Cru 2019","9.922.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Qua màu đỏ ruby đẹp mắtt, chai vang lan tỏa hương vị đậm đà và ngọt ngào của quả đen chín hòa quyện cùng gia vị ấm áp phức hợp, mùi khói và hương khoáng chất. Vị rượu đầy đặn, độ chát dịu mượt hài hòa cùng vị chua thanh lịch","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-clos-de-vougeot-grand-cru-2019/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-clos-de-vougeot-grand-cru.jpg"
"101331","VD/1245-1.5L","Rượu Vang Pháp Domaine Henri Rebourseau, Clos De Vougeot Grand Cru 2019 1.5L","2","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","1500ml","2019","in-stock","","Qua màu đỏ ruby đẹp mắtt, chai vang lan tỏa hương vị đậm đà và ngọt ngào của quả đen chín hòa quyện cùng gia vị ấm áp phức hợp, mùi khói và hương khoáng chất. Vị rượu đầy đặn, độ chát dịu mượt hài hòa cùng vị chua thanh lịch","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-clos-de-vougeot-grand-cru-2019-1500ml/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-clos-de-vougeot-grand-cru.jpg"
"39782","VD/1271","Rượu Vang Pháp Domaine Henri Rebourseau, Clos De Vougeot Vieilles Vignes Grand Cru 2019","9.317.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Rượu gợi mở những nốt hương thơm nồng nàn của quả mọng sẫm màu, pha chút mận tươi, mật ong đen và nấm cục","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-clos-de-vougeot-vieilles-vignes-grand-cru-2019/","https://winecellar.vn/wp-content/uploads/2023/11/domaine-henri-rebourseau-clos-de-vougeot-vieilles-vignes-grand-cru.jpg"
"31641","VD/1240","Rượu Vang Pháp Domaine Henri Rebourseau, Gevrey Chambertin Aux Corvées 2018","2.970.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2018","in-stock","","Rượu có màu đỏ ruby đậm, hương thơm của trái cây đỏ chín mọng, quyện lẫn hương hoa hồng, hoa cẩm chướng, cùng thảo mộc và gia vị ấm. Vị rượu đậm đà, chua tươi tắn cùng độ chát mượt kéo dài theo hậu vị","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-gevrey-chambertin-aux-corvees-2018/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-gevrey-chambertin-aux-corvees.jpg"
"31644","VD/1241","Rượu Vang Pháp Domaine Henri Rebourseau, Gevrey Chambertin La Brunelle 2018","3.388.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2018","in-stock","","Rượu có màu đỏ ruby đậm ánh tím, hương thơm đặc trưng bởi các nốt trái cây đỏ chín hòa quyện trên nền gia vị ấm, hương bánh mì nướng, vanilla, nấm và thảo mộc. Vị rượu mượt mà, tròn đầy với độ chua hài hòa, hậu vị kéo dài lưu luyến.","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-gevrey-chambertin-la-brunelle-2018/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-gevrey-chambertin-la-brunelle.jpg"
"39284","VD/1241-19","Rượu Vang Pháp Domaine Henri Rebourseau, Gevrey Chambertin La Brunelle 2019","3.388.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Chai vang mang chất vị phức hợp, cân bằng và hài hòa qua màu đỏ ruby sáng ​​với ánh tím đậm. Vang lan tỏa hương thơm của mứt anh đào morello, hoa tím, gỗ sồi vani và tiêu trắng. Vị vang đậm đà, độ chua tốt và chất chát mịn màng, hậu vị kéo dài sâu sắc.","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-gevrey-chambertin-la-brunelle-2019/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-gevrey-chambertin-la-brunelle.jpg"
"39779","VD/1269","Rượu Vang Pháp Domaine Henri Rebourseau, Gevrey-Chambertin Fonteny Premier Cru 2019","4","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Một minh chứng cho thực địa xuất sắc và sự thành thạo trong quá trình sản xuất của Domaine Henri Rebourseau với những nốt hương căng tràn sức sống của quả đỏ, gia vị, thảo mộc hòa quyện cùng gỗ sồi. Vị vang chát dịu êm mượt, cấu trúc vững chắc dẻo dai, vị chua tinh tế. Hậu vị kéo dài lưu luyến","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-gevrey-chambertin-fonteny-premier-cru-2019/","https://winecellar.vn/wp-content/uploads/2023/11/henri-rebourseau-gevrey-chambertin-1er-cru-fonteny.jpg"
"31656","VD/1243","Rượu Vang Pháp Domaine Henri Rebourseau, Mazy-Chambertin Grand Cru 2018 1.5L","2","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","","2018","in-stock","","Rượu vang Grand Cru đem đến sự hòa quyện tinh tế của mận chín, dâu tây, mâm xôi đen với vị chát mềm mại, mịn màng, để lại hậu vị phức hợp và sâu lắng.","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-mazy-chambertin-grand-cru-2018/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-mazy-chambertin-grand-cru.jpg"
"39696","VD/1243-19-75CL","Rượu Vang Pháp Domaine Henri Rebourseau, Mazy-Chambertin Grand Cru 2019","1","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2019","in-stock","","Tràn ngập hương thơm từ quả đỏ, gia vị và gỗ sồi, rượu thể hiện chất vị phức hợp cùng sự cân bằng hoàn hảo giữa vị chát mịn màng và vị chua tươi mát","https://winecellar.vn/ruou-vang-phap/domaine-henri-rebourseau-mazy-chambertin-grand-cru-2019/","https://winecellar.vn/wp-content/uploads/2023/03/domaine-henri-rebourseau-mazy-chambertin-grand-cru.jpg"
"12964","VT/0210","Rượu vang Pháp Domaine Weinbach Cuvée Théo Riesling","1.331.000","","","Riesling, Gewürztraminer, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Puglia","","1","","","in-stock","","Rượu lan tỏa những nốt hương đào, mơ, cam quýt hòa quyện cùng hương hoa tinh tế. Hương vị rượu thơm ngon với trái cây chín mọng, độ chua sống động hòa cùng chút đặm mặn nhẹ nhàng. Một sự lựa chọn tuyệt vời để mở ra hành trình khám phá hương vị rượu vang Riesling vùng Alsace.","https://winecellar.vn/ruou-vang-phap/domaine-weinbach-cuvee-theo-riesling/","https://winecellar.vn/wp-content/uploads/2019/06/domaine-weinbach-cuvee-theo-riesling.jpg"
